,Unnamed: 0,rec_no,prime_id,replc,samptyp,rec_cnt,latitude,longitude,doelab,laslid,ornlid,srlid,lllid,site,state,quad,mapcode,fips,huc8,ls_map,study,phase,strbasin,b_lat_c,b_long_c,smpmedia,sampsrc,sedcond,sizefrxn,osamptyp,lsamptyp,ssamptyp,sedtreat,sampdat,samphr,sampler,grabs,weather,airtemp,wtrtemp,ph,cond,alk,o_diss,scin,orgn_pct,sampodor,smpcolr,sgeounit,rocktyp,rockclr,sedtype,sedcolr,strwdth,strwdthc,strdpth,strdpthc,wtrlevel,strflow,strflowc,wtrcolr,strchanl,vegtype,vegdens,relief,contamc,specms,tapedata,analdate,batch_es,asbatch,clbatch,po4batch,snbatch,hgbatch,ubatch_dn,ubatch_fl,ubatch_ms,ubatch_xx,u_xx_mthd,u_xx_ppm,u_dn_ppm,u_fl_ppm,u_ms_ppm,u_na_ppm,ag_ppm,al_pct,as_ppm,au_ppm,b_ppm,ba_ppm,be_ppm,bi_ppm,br_ppm,ca_pct,cd_ppm,ce_ppm,cl_ppm,co_ppm,cr_ppm,cs_ppm,cu_ppm,dy_ppm,eu_ppm,f_ppm,fe_pct,hf_ppm,hg_ppm,k_pct,la_ppm,li_ppm,lu_ppm,mg_pct,mn_ppm,mo_ppm,na_pct,nb_ppm,ni_ppm,p_ppm,pb_ppm,pt_ppm,rb_ppm,sb_ppm,sc_ppm,se_ppm,sm_ppm,sn_ppm,sr_ppm,ta_ppm,tb_ppm,th_ppm,ti_ppm,v_ppm,w_ppm,y_ppm,yb_ppm,zn_ppm,zr_ppm,po4_ppm,so4_ppm,methods,tapefile,reformat,coordprb,comments,comment2
17,2674,5267098,ALSH060S1,0,50,1,33.3135,-86.7038,SRL-E,,,ALSH060S1,,,AL,BIRMINGHAM,NI1608,1117,3150202,34088SEC2,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/1/1976,,17,6,OVERCAST,,,,,,,,,,,,,,SAND,BROWN,,DRY,,DRY,DRY,,DRY,OTHER,UNKNOWN,BRUSH,MODERATE,LOW (0 - 15 M),,,,3/21/1979,,,,,,,,,,,,,2.1,,,,,1.02,,-0.01,,,,,,,,20,,,,,,3.3,,,0.68,24,,,22,,-0.7,,170,,0.04,,,,,,,,1.6,,2,,,,,5,3100,20,,,,,,,,"SR1, SR2",XG0567.01,GOLD VALUE ADDED BASED ON GJBX-135(82):,REDIGITIZED SAMPLE LOCATION: CHANGED LAT & LONG VALUES TO NEW COORDINATES: ORIGINAL VALUES - XG0567.01 LAT(33.3236);LONG(-86.6938):,,
18,2675,5267099,ALSH061S1,0,50,1,33.2152,-86.7857,SRL-E,,,ALSH061S1,,,AL,BIRMINGHAM,NI1608,1117,3150202,34088SEB3,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/2/1976,,26,5,SUNNY/CLEAR,,,,,,,,,,,,,,COBBLES,BROWN,,DRY,,DRY,DRY,,DRY,OTHER,ERODING,DECIDUOUS,DENSE,LOW (0 - 15 M),,,,3/21/1979,,,,,,,,,,,,,1.7,,,,,1.88,,-0.01,,,,,,,,24,,,,,,7.8,-1,,1.38,10,,,13,,0.5,,1300,,0.08,,,,,,,,3.1,,2,,,,,6,2800,40,,,,,,,,"SR1, SR2",XG0567.01,GOLD VALUE ADDED BASED ON GJBX-135(82):,REDIGITIZED SAMPLE LOCATION: CHANGED LAT & LONG VALUES TO NEW COORDINATES: ORIGINAL VALUES - XG0567.01 LAT(33.2331);LONG(-86.7693):,,
19,2676,5267100,ALSH062S1,0,50,1,33.2231,-86.7454,SRL-E,,,ALSH062S1,,,AL,BIRMINGHAM,NI1608,1117,3150107,34088SEC3,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/2/1976,,26,6,SUNNY/CLEAR,,,,,,,,,,,,,,SAND,ORANGE,,DRY,,DRY,DRY,,DRY,OTHER,UNKNOWN,DECIDUOUS,SPARSE,MODERATE (60 - 120 M),,,,3/21/1979,,,,,,,,,,,,,1.7,,,,,1.01,,-0.01,,,,,,,,-20,,,,,,1.9,,,0.67,12,,,8,,0.2,,170,,0.07,,,,,,,,2.7,,1,,,,,6,2200,20,,,,,,,,"SR1, SR2",XG0567.01,GOLD VALUE ADDED BASED ON GJBX-135(82):,REDIGITIZED SAMPLE LOCATION: CHANGED LAT & LONG VALUES TO NEW COORDINATES: ORIGINAL VALUES - XG0567.01 LAT(33.2429);LONG(-86.7276):,,
20,2680,5267104,ALSH066S1,0,50,1,33.2281,-86.6927,SRL-E,,,ALSH066S1,,,AL,BIRMINGHAM,NI1608,1117,3150107,34088SEC3,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/3/1976,,31,7,SUNNY/CLEAR,,,,,,,,,,,,,,SAND,BROWN,,DRY,,DRY,DRY,,DRY,OTHER,UNKNOWN,DECIDUOUS,MODERATE,LOW (0 - 15 M),,,,3/21/1979,,,,,,,,,,,,,2,,,,,2.19,,-0.01,,,,,,,,12,,,,,,4.3,-1,,1.61,12,,,10,,0.4,,270,,0.04,,,,,,,,2.5,,1,,,,,7,2800,40,,,,,,,,"SR1, SR2",XG0567.01,GOLD VALUE ADDED BASED ON GJBX-135(82):,REDIGITIZED SAMPLE LOCATION: CHANGED LAT & LONG VALUES TO NEW COORDINATES: ORIGINAL VALUES - XG0567.01 LAT(33.2502);LONG(-86.6729):,,
21,2691,5267115,ALSH080S1,0,50,1,33.2552,-86.5807,SRL-E,,,ALSH080S1,,,AL,BIRMINGHAM,NI1608,1117,3150107,34088SED2,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/3/1976,,31,5,SUNNY/CLEAR,,,,,,,,,,,,,,PEBBLES,BROWN,,DRY,,DRY,DRY,,DRY,OTHER,UNKNOWN,DECIDUOUS,MODERATE,LOW (0 - 15 M),,,,3/20/1979,,,,,,,,,,,,,2.2,,,,,3.43,,-0.01,,,,,,,,67,,,,,,3.9,-1,,2.8,8,,,21,,0.2,,200,,0.11,,,,,,,,7.4,,5,,,,,7,3400,60,,,2.8,,,,,"SR1, SR2",XG0567.01,GOLD VALUE ADDED BASED ON GJBX-135(82):,REDIGITIZED SAMPLE LOCATION: CHANGED LAT & LONG VALUES TO NEW COORDINATES: ORIGINAL VALUES - XG0567.01 LAT(33.2811);LONG(-86.5567):,,
22,2692,5267116,ALSH081S1,0,50,1,33.2618,-86.5542,SRL-E,,,ALSH081S1,,,AL,BIRMINGHAM,NI1608,1117,3150107,34088SED2,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/2/1976,,31,5,SUNNY/CLEAR,,,,,,,,,,,,,,PEBBLES,BROWN,,DRY,,DRY,DRY,,DRY,OTHER,UNKNOWN,BRUSH,MODERATE,LOW (0 - 15 M),UNKNOWN,,,3/20/1979,,,,,,,,,,,,,3,,,,,2.22,,-0.01,,,,,,,,32,,,,,,4.2,-1,,1.57,11,,,16,,-0.2,,200,,0.06,,,,,,,,6.5,,3,,,,,6,3300,40,,,,,,,,"SR1, SR2",XG0567.01,CONTAMC(UNKNOWN) IS PROBABLY RESIDENTIAL OR RECREATIONAL: GOLD VALUE ADDED BASED ON GJBX-135(82):,REDIGITIZED SAMPLE LOCATION: CHANGED LAT & LONG VALUES TO NEW COORDINATES: ORIGINAL VALUES - XG0567.01 LAT(33.2885);LONG(-86.5296):,,
23,2693,5267117,ALSH082S1,0,50,1,33.2751,-86.5286,SRL-E,,,ALSH082S1,,,AL,BIRMINGHAM,NI1608,1117,3150107,34088SED2,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/2/1976,,31,5,SUNNY/CLEAR,,,,,,,,,,,,,,PEBBLES,BROWN,,DRY,,DRY,DRY,,DRY,OTHER,UNKNOWN,BRUSH,MODERATE,LOW (0 - 15 M),,,,3/20/1979,,,,,,,,,,,,,3.4,,,,,3.91,,-0.01,,,,,,,,81,,,,,,,2.3,,3.46,10,,,27,,0.2,,,,0.11,,,,,,,,7.6,,4,,,,,14,,80,,,2.5,,,,,"SR1, SR2",XG0567.01,GOLD VALUE ADDED BASED ON GJBX-135(82):,REDIGITIZED SAMPLE LOCATION: CHANGED LAT & LONG VALUES TO NEW COORDINATES: ORIGINAL VALUES - XG0567.01 LAT(33.3024);LONG(-86.5035):,,
24,2695,5267119,ALSH084S1,0,50,1,33.1561,-86.7421,SRL-E,,,ALSH084S1,,,AL,BIRMINGHAM,NI1608,1117,3150107,34088SEC3,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/2/1976,,26,5,SUNNY/CLEAR,,,,,,,,,,,,,,SAND,WHITE/BUFF,,DRY,,DRY,DRY,,DRY,OTHER,UNKNOWN,DECIDUOUS,MODERATE,LOW (0 - 15 M),,,,3/20/1979,,,,,,,,,,,,,4.4,,,,,4.4,,-0.01,,,,,,,,60,,,,,,,-1,,2.13,8,,,26,,0.5,,1320,,0.05,,,,,,,,6.5,,4,,,,,5,7200,60,,,,,,,,"SR1, SR2",XG0567.01,GOLD VALUE ADDED BASED ON GJBX-135(82):,REDIGITIZED SAMPLE LOCATION: CHANGED LAT & LONG VALUES TO NEW COORDINATES: ORIGINAL VALUES - XG0567.01 LAT(33.1844);LONG(-86.7171):,,
25,2707,5267132,ALSH100S1,0,50,1,33.1524,-86.6006,SRL-E,,,ALSH100S1,,,AL,BIRMINGHAM,NI1608,1117,3150107,34088SED3,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/2/1976,,26,5,SUNNY/CLEAR,,,,,,,,,,,,,,MUCK,BROWN,,DRY,,DRY,DRY,,DRY,OTHER,DEPOSITING,BRUSH,VERY DENSE,FLAT,,,,3/20/1979,,,,,,,,,,,,,3.5,,,,,6.83,,-0.01,,,,,,,,102,,,,,,10.8,1.8,,2.67,9,,,35,,1.2,,640,,0.15,,,,,,,,9.3,,14,,,,,8,10600,80,,,,,,,,"SR1, SR2",XG0567.01,GOLD VALUE ADDED BASED ON GJBX-135(82):,REDIGITIZED SAMPLE LOCATION: CHANGED LAT & LONG VALUES TO NEW COORDINATES: ORIGINAL VALUES - XG0567.01 LAT(33.1908);LONG(-86.5671):,,
26,2717,5267142,ALSH114S1,0,50,1,33.0516,-86.5458,SRL-E,,,ALSH114S1,,,AL,BIRMINGHAM,NI1608,1117,3150107,34088SED4,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/2/1976,,26,5,SUNNY/CLEAR,,,,,,,,,,,,,,PEBBLES,BROWN,,DRY,,DRY,DRY,,DRY,OTHER,DEPOSITING,BRUSH,DENSE,LOW (0 - 15 M),,,,3/22/1979,,,,,,,,,,,,,4.5,,,,,,,-0.01,,,,,,,,114,,,,,,,-1,,2.17,18,,,55,,0.9,,,,,,,,,,,,5.7,,,,,,,13,,,,,5.2,,,,,"SR1, SR2",XG0567.01,GOLD VALUE ADDED BASED ON GJBX-135(82):,REDIGITIZED SAMPLE LOCATION: CHANGED LAT & LONG VALUES TO NEW COORDINATES: ORIGINAL VALUES - XG0567.01 LAT(33.1066);LONG(-86.4974):,,
27,2722,5267147,ALSH123S1,0,50,1,33.1194,-86.7943,SRL-E,,,ALSH123S1,,,AL,BIRMINGHAM,NI1608,1117,3150202,34088SEB4,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/3/1976,,23,5,OVERCAST,,,,,,,,,,,,,,SAND,BROWN,,DRY,,DRY,DRY,,DRY,OTHER,UNKNOWN,BRUSH,DENSE,LOW (0 - 15 M),,,,3/22/1979,,,,,,,,,,,,,2.9,,,,,2.11,,-0.01,,,,,,,,34,,,,,,2.8,-1,,1.44,9,,,13,,0.2,,410,,0.05,,,,,,,,4.7,,4,,,,,7,3000,40,,,,,,,,"SR1, SR2",XG0567.01,GOLD VALUE ADDED BASED ON GJBX-135(82):,REDIGITIZED SAMPLE LOCATION: CHANGED LAT & LONG VALUES TO NEW COORDINATES: ORIGINAL VALUES - XG0567.01 LAT(33.1496);LONG(-86.7683):,,
28,2740,5267165,ALSH145S1,0,50,1,33.2962,-86.8369,SRL-E,,,ALSH145S1,,,AL,BIRMINGHAM,NI1608,1117,3150202,34088SEB2,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/1/1976,,17,5,OVERCAST,,,,,,,,,,,,,,PEBBLES,BROWN,,DRY,,DRY,DRY,,DRY,OTHER,UNKNOWN,BRUSH,DENSE,LOW (0 - 15 M),,,,3/20/1979,,,,,,,,,,,,,2.5,,,,,,,0.03,,,,,,,,27,,,,,,,-1,,0.9,13,,,16,,-0.2,,,,,,,,,,,,3.2,,,,,,,8,,,,,2,,,,,"SR1, SR2",XG0567.01,GOLD DATA ADDED FROM XG0474.03:,REDIGITIZED SAMPLE LOCATION: CHANGED LAT & LONG VALUES TO NEW COORDINATES: ORIGINAL VALUES - XG0567.01 LAT(33.3002);LONG(-86.832):,,
29,2747,5267172,ALSH353S1,0,50,1,33.3915,-86.6923,SRL-E,,,ALSH353S1,,,AL,BIRMINGHAM,NI1608,1117,3150202,34088SEC1,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/17/1976,,59,7,SUNNY/CLEAR,,,,,,,,,,,,,,PEBBLES,BROWN,,2 - 4 FT,,1 - 2 FT,DRY,,DRY,MUDDY,UNKNOWN,CONIFERS,MODERATE,LOW (0 - 15 M),,,,3/20/1979,,,,,,,,,,,,,3.7,,,,,3.94,,-0.01,,,,,,,,74,,,,,,,-1,,2.17,10,,,31,,0.5,,1060,,0.05,,,,,,,,6.4,,4,,,,,9,4000,60,,,,,,,,"SR1, SR2",XG0567.01,SAMPLE BELIEVED TO BE COLLECTED FROM SRLID(ALSH053S1) SITE FOR QA/QC PURPOSES: GOLD VALUE ADDED BASED ON GJBX-135(82):,"ORIGINAL COORDINATES - LAT(0),LONG(0) - CHANGED TO VALUES FOUND IN SRLID(ALSH053S1):",,
30,2748,5267173,ALSH360S1,0,50,1,33.3135,-86.7038,SRL-E,,,ALSH360S1,,,AL,BIRMINGHAM,NI1608,1117,3150202,34088SEC2,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/17/1976,,59,12,SUNNY/CLEAR,,22,7,100,0.54,,,,,,,,,SAND,WHITE/BUFF,,4 - 8 FT,,2 - 4 FT,NORMAL,,SLOW,BROWN-CLEAR,DEPOSITING,CONIFERS,DENSE,LOW (0 - 15 M),,,,3/20/1979,,,,,,,,,,,,,1.8,,,,,,,-0.01,,,,,,,,-21,,,,,,,,,1.21,17,,,,,-0.2,,,,,,,,,,,,1.2,,,,,,,5,,,,,,,,,,"SR1, SR2",XG0567.01,SAMPLE BELIEVED TO BE COLLECTED FROM SRLID(ALSH060S1) SITE FOR QA/QC PURPOSES: GOLD VALUE ADDED BASED ON GJBX-135(82):,"ORIGINAL COORDINATES - LAT(0),LONG(0) - CHANGED TO VALUES FOUND IN SRLID(ALSH060S1):",,
31,2749,5267174,ALSH361S1,0,50,1,33.2152,-86.7857,SRL-E,,,ALSH361S1,,,AL,BIRMINGHAM,NI1608,1117,3150202,34088SEB3,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/17/1976,,59,12,SUNNY/CLEAR,,26,7.7,480,1.56,,,,,,,,,SAND,BROWN,,4 - 8 FT,,2 - 4 FT,LOW,,SLOW,BROWN-CLEAR,DEPOSITING,CONIFERS,DENSE,LOW (0 - 15 M),MINING;UNKNOWN,,,3/20/1979,,,,,,,,,,,,,1.8,,,,,1.32,,-0.01,,,,,,,,29,,,,,,,-1.9,,1.58,11,,,10,,-0.3,,570,,0.03,,,,,,,,3.6,,2,,,,,5,1600,20,,,,,,,,"SR1, SR2",XG0567.01,SAMPLE BELIEVED TO BE COLLECTED FROM SRLID(ALSH061S1) SITE FOR QA/QC PURPOSES: CONTAMC(UNKNOWN) IS PROBABLY RESIDENTIAL OR RECREATIONAL: GOLD VALUE ADDED BASED ON GJBX-135(82):,"ORIGINAL COORDINATES - LAT(0),LONG(0) - CHANGED TO VALUES FOUND IN SRLID(ALSH061S1):",,
32,2750,5267175,ALSH362S1,0,50,1,33.2231,-86.7454,SRL-E,,,ALSH362S1,,,AL,BIRMINGHAM,NI1608,1117,3150107,34088SEC3,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/17/1976,,59,5,SUNNY/CLEAR,,,,,,,,,,,,,,CLAY,BROWN,,2 - 4 FT,,1 - 2 FT,DRY,,DRY,OTHER,UNKNOWN,DECIDUOUS,DENSE,LOW (0 - 15 M),,,,3/20/1979,,,,,,,,,,,,,3.6,,,,,,,-0.01,,,,,,,,34,,,,,,,0.9,,1.4,6,,,17,,0.4,,,,,,,,,,,,5.5,,3,,,,,5,,,,,,,,,,"SR1, SR2",XG0567.01,SAMPLE BELIEVED TO BE COLLECTED FROM SRLID(ALSH062S1) SITE FOR QA/QC PURPOSES: GOLD VALUE ADDED BASED ON GJBX-135(82):,"ORIGINAL COORDINATES - LAT(0),LONG(0) - CHANGED TO VALUES FOUND IN SRLID(ALSH062S1):",,
33,2751,5267176,ALSH366S1,0,50,1,33.2281,-86.6927,SRL-E,,,ALSH366S1,,,AL,BIRMINGHAM,NI1608,1117,3150107,34088SEC3,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/17/1976,,59,11,SUNNY/CLEAR,,23,5.5,20,0.08,,,,,,,,,MUCK,BLACK,,2 - 4 FT,,0.5 - 1 FT,NORMAL,,MODERATE,BROWN-CLEAR,DEPOSITING,CONIFERS,DENSE,LOW (0 - 15 M),,,,3/20/1979,,,,,,,,,,,,,2.8,,,,,2.79,,-0.01,,,,,,,,27,,,,,,4.4,-1,,1.23,11,,,16,,0.3,,150,,0.14,,,,,,,,4.5,,4,,,,,3,3900,50,,,,,,,,"SR1, SR2",XG0567.01,SAMPLE BELIEVED TO BE COLLECTED FROM SRLID(ALSH066S1) SITE FOR QA/QC PURPOSES: GOLD VALUE ADDED BASED ON GJBX-135(82):,"ORIGINAL COORDINATES - LAT(0),LONG(0) - CHANGED TO VALUES FOUND IN SRLID(ALSH066S1):",,
34,2752,5267177,ALSH380S1,0,50,1,33.2552,-86.5807,SRL-E,,,ALSH380S1,,,AL,BIRMINGHAM,NI1608,1117,3150107,34088SED2,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/16/1976,,59,9,SUNNY/CLEAR,,26,5.2,31,0.08,,,,,,,,,COBBLES,YELLOW,,2 - 4 FT,,1 - 2 FT,DRY,,DRY,OTHER,UNKNOWN,DECIDUOUS,DENSE,LOW (0 - 15 M),,,,3/20/1979,,,,,,,,,,,,,3.6,,,,,,,-0.01,,,,,,,,52,,,,,,,,,3.04,7,,,27,,0.5,,,,,,,,,,,,6.1,,,,,,,9,,,,,,,,,,"SR1, SR2",XG0567.01,SAMPLE BELIEVED TO BE COLLECTED FROM SRLID(ALSH080S1) SITE FOR QA/QC PURPOSES: GOLD VALUE ADDED BASED ON GJBX-135(82):,"ORIGINAL COORDINATES - LAT(0),LONG(0) - CHANGED TO VALUES FOUND IN SRLID(ALSH080S1):",,
35,2753,5267178,ALSH381S1,0,50,1,33.2618,-86.5542,SRL-E,,,ALSH381S1,,,AL,BIRMINGHAM,NI1608,1117,3150107,34088SED2,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/16/1976,,59,5,SUNNY/CLEAR,,,,,,,,,,,,,,SAND,BROWN,,2 - 4 FT,,1 - 2 FT,DRY,,DRY,OTHER,UNKNOWN,DECIDUOUS,MODERATE,LOW (0 - 15 M),,,,3/20/1979,,,,,,,,,,,,,2.4,,,,,1.65,,-0.01,,,,,,,,20,,,,,,6.8,2.6,,1.53,10,,,9,,0.3,,260,,0.06,,,,,,,,4,,2,,,,,3,2900,40,,,,,,,,"SR1, SR2",XG0567.01,SAMPLE BELIEVED TO BE COLLECTED FROM SRLID(ALSH081S1) SITE FOR QA/QC PURPOSES: GOLD VALUE ADDED BASED ON GJBX-135(82):,"ORIGINAL COORDINATES - LAT(0),LONG(0) - CHANGED TO VALUES FOUND IN SRLID(ALSH081S1):",,
36,2754,5267179,ALSH382S1,0,50,1,33.2751,-86.5286,SRL-E,,,ALSH382S1,,,AL,BIRMINGHAM,NI1608,1117,3150107,34088SED2,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/16/1976,,59,5,SUNNY/CLEAR,,29,6.2,66,0.18,,,,,,,,,COBBLES,BROWN,,2 - 4 FT,,0.5 - 1 FT,DRY,,STAGNANT,MUDDY,UNKNOWN,GRASS OR PASTURE,MODERATE,LOW (0 - 15 M),,,,3/20/1979,,,,,,,,,,,,,3.4,,,,,3.8,,-0.01,,,,,,,,75,,,,,,10.8,1.9,,1.99,12,,,24,,0.4,,470,,0.12,,,,,,,,7.2,,14,,,,,9,5900,80,,,,,,,,"SR1, SR2",XG0567.01,SAMPLE BELIEVED TO BE COLLECTED FROM SRLID(ALSH082S1) SITE FOR QA/QC PURPOSES: GOLD VALUE ADDED BASED ON GJBX-135(82):,"ORIGINAL COORDINATES - LAT(0),LONG(0) - CHANGED TO VALUES FOUND IN SRLID(ALSH082S1):",,
